"","clusterresults$cluster"
"1853",1
"1097",1
"65",3
"1762",4
"1016",3
"1511",1
"1404",1
"1027",4
"729",1
"751",5
"121",4
"628",4
"2117",5
"1317",3
"1349",1
"277",5
"1891",5
"2139",2
"1112",5
"1861",3
"908",1
"1345",4
"2030",3
"1449",1
"2310",5
"420",1
"431",5
"550",4
"2146",1
"256",1
"2329",3
"1833",3
"720",2
"1230",3
"139",1
"1099",5
"1397",4
"1378",4
"2109",3
"2307",3
"1103",1
"610",2
"1543",1
"1373",2
"1375",4
"1428",1
"2242",5
"1588",4
"1193",4
"1553",5
"568",5
"1731",3
"1860",3
"163",1
"24",4
"2347",4
"493",2
"306",4
"862",4
"413",5
"616",4
"1074",4
"1114",2
"1031",4
"12",2
"1245",3
"1354",1
"710",3
"530",5
"1663",4
"1564",1
"2382",1
"1289",4
"1248",1
"1687",4
"2123",1
"999",3
"852",2
"31",4
"245",1
"1138",2
"646",4
"453",1
"842",4
"1162",5
"2225",4
"2078",1
"519",2
"1572",2
"1755",3
"2038",5
"1611",1
"1091",2
"269",4
"1371",4
"1576",4
"324",5
"1390",4
"133",5
"2006",2
"2224",5
"1530",4
"989",4
"596",5
"1312",3
"1608",4
"2282",2
"1049",4
"1110",2
"437",4
"2176",5
"792",2
"1329",1
"2053",1
"1149",4
"767",4
"1000",5
"1882",4
"1330",1
"1603",1
"567",5
"2227",5
"483",1
"1771",1
"145",3
"1021",3
"740",3
"535",2
"1830",5
"547",4
"2013",3
"776",1
"704",2
"1932",2
"1464",2
"298",2
"500",4
"688",3
"1715",4
"1408",4
"1164",5
"266",5
"142",4
"1438",1
"8",3
"870",2
"114",3
"1674",4
"1698",4
"2040",3
"514",5
"687",4
"88",3
"320",4
"2125",4
"1083",5
"2095",5
"1906",1
"480",5
"777",5
"1143",3
"135",3
"641",4
"505",2
"1458",2
"1088",3
"1909",1
"1353",5
"364",3
"1557",4
"2246",5
"1325",4
"1421",1
"1642",2
"2297",3
"2322",2
"1779",3
"2264",3
"2312",4
"2180",2
"931",2
"263",2
"1778",4
"35",4
"887",5
"110",3
"262",5
"910",1
"1023",5
"679",2
"797",3
"2074",5
"23",1
"361",3
"2160",3
"565",3
"2386",3
"1287",4
"2076",2
"1581",1
"1720",5
"1340",3
"1500",2
"1476",3
"215",3
"1435",4
"2208",4
"72",4
"975",3
"763",4
"1960",4
"1171",4
"2374",2
"1842",1
"1785",4
"1700",5
"2255",2
"1529",4
"2035",4
"771",3
"993",2
"1571",1
"1691",3
"230",5
"2091",4
"2360",3
"2183",1
"1689",4
"591",5
"1071",5
"2353",2
"1217",2
"180",3
"1998",4
"1613",1
"800",1
"430",1
"240",2
"680",2
"15",4
"1589",4
"414",1
"44",1
"1843",3
"355",5
"214",5
"243",1
"267",1
"2069",4
"625",5
"1829",2
"1450",1
"714",4
"1528",3
"1533",3
"1671",4
"1047",4
