"","avg_a","q26r3","q26r11"
"1853",2.5,4,6
"1097",2.5,4,6
"65",4,2,4
"1762",3.25,2,6
"1016",2.25,2,3
"1511",3.25,3,5
"1404",2.75,4,5
"1027",3.25,1,6
"729",3,3,5
"751",2.5,1,1
"121",4.5,1,6
"628",3.25,2,6
"2117",1.75,2,1
"1317",3.75,2,3
"1349",3,3,6
"277",3.75,2,2
"1891",1.5,1,1
"2139",1.5,4,3
"1112",2.25,3,1
"1861",3,2,4
"908",1.75,5,5
"1345",3,1,6
"2030",4.5,2,3
"1449",3.25,3,5
"2310",2,2,2
"420",3.5,4,5
"431",1,1,1
"550",3.25,1,6
"2146",3.75,3,5
"256",1.5,3,5
"2329",2.5,2,3
"1833",2.75,1,4
"720",2.5,3,2
"1230",2.25,1,3
"139",2.25,6,6
"1099",1.25,2,2
"1397",2.75,1,6
"1378",2.25,2,6
"2109",2.25,1,3
"2307",3,1,4
"1103",3.25,3,5
"610",2.25,5,3
"1543",3.25,5,5
"1373",3.5,3,3
"1375",2.75,2,6
"1428",2.75,3,5
"2242",3.5,1,1
"1588",2.5,2,6
"1193",2.25,2,6
"1553",1.75,2,1
"568",3,1,2
"1731",3.5,2,4
"1860",3.25,1,4
"163",3.25,3,6
"24",2.25,1,6
"2347",2.75,1,5
"493",3.75,3,3
"306",2.5,1,6
"862",3.25,1,6
"413",2,1,1
"616",2.25,1,6
"1074",2,1,6
"1114",3.25,4,3
"1031",3.5,2,6
"12",2.5,4,2
"1245",1.5,1,3
"1354",3,3,5
"710",1.75,2,3
"530",1.5,1,1
"1663",3.25,1,6
"1564",1.5,4,6
"2382",3.25,3,6
"1289",2.25,1,6
"1248",3.25,3,6
"1687",2.25,1,6
"2123",2.5,3,6
"999",3.25,1,3
"852",2,6,3
"31",2,1,6
"245",3.25,4,6
"1138",2.5,4,3
"646",4.25,2,5
"453",2,3,6
"842",3.5,1,6
"1162",2.25,2,2
"2225",2.75,1,6
"2078",3,3,6
"519",3.75,4,4
"1572",2.25,3,3
"1755",2.25,2,4
"2038",2.25,2,1
"1611",3.25,3,6
"1091",2.25,3,2
"269",1.75,1,6
"1371",2.5,1,6
"1576",3.25,1,6
"324",2.5,1,1
"1390",3,2,5
"133",1,1,1
"2006",2.25,5,2
"2224",3,2,2
"1530",2.75,2,5
"989",3,1,6
"596",1,2,2
"1312",2,2,3
"1608",1.75,1,6
"2282",3.5,3,3
"1049",1.75,2,6
"1110",3.5,3,3
"437",3.75,2,5
"2176",1,1,1
"792",3,3,3
"1329",2.25,6,6
"2053",3.5,3,6
"1149",4,2,6
"767",3,1,5
"1000",2,1,1
"1882",2,2,6
"1330",2.25,4,6
"1603",2.75,4,5
"567",1.75,2,2
"2227",2.5,2,2
"483",2.75,3,6
"1771",2.25,3,6
"145",2.25,2,4
"1021",3.25,2,4
"740",2.25,2,3
"535",3.25,4,4
"1830",4.25,1,1
"547",2.25,1,6
"2013",3.5,1,3
"776",2.75,3,6
"704",2.5,3,2
"1932",2.75,3,2
"1464",4,3,2
"298",3,4,3
"500",3.25,2,6
"688",3,1,3
"1715",3.25,1,6
"1408",3.5,2,6
"1164",1.75,1,1
"266",2,1,1
"142",3,1,6
"1438",3.25,3,5
"8",2.75,1,3
"870",3.5,3,2
"114",2.75,1,3
"1674",2.75,1,6
"1698",3.25,1,6
"2040",2.5,2,4
"514",1.25,2,2
"687",3.25,2,6
"88",2.25,2,3
"320",3.5,1,6
"2125",3.25,2,6
"1083",1,1,1
"2095",2.5,1,1
"1906",2.5,3,5
"480",2,1,2
"777",3,2,2
"1143",3.5,1,4
"135",2.25,1,3
"641",3,1,5
"505",3,3,2
"1458",2.5,3,4
"1088",2.5,1,4
"1909",2.75,3,6
"1353",2.25,1,2
"364",3,2,3
"1557",3.25,1,6
"2246",2.75,2,2
"1325",3.25,1,6
"1421",3.25,3,6
"1642",2.5,3,4
"2297",2.75,2,3
"2322",3,4,3
"1779",3.5,1,3
"2264",3,1,4
"2312",3.5,1,6
"2180",2.25,3,2
"931",4,4,4
"263",3.25,3,4
"1778",2,1,6
"35",2.5,2,6
"887",1.25,1,1
"110",2.25,1,3
"262",4,2,2
"910",2.75,4,6
"1023",1.75,1,1
"679",1.75,4,3
"797",2.75,1,3
"2074",2.75,1,1
"23",3.25,3,6
"361",2.75,2,3
"2160",2.75,2,3
"565",2.75,1,3
"2386",2,2,3
"1287",2.25,2,6
"2076",3.5,3,2
"1581",3.25,4,5
"1720",3.5,3,1
"1340",2.25,2,3
"1500",3.75,3,3
"1476",2.75,1,3
"215",3.25,1,3
"1435",2.75,2,6
"2208",3,2,5
"72",3.5,2,5
"975",2.75,2,4
"763",2.5,2,5
"1960",2.5,1,6
"1171",2.75,2,6
"2374",3,3,3
"1842",3.25,5,6
"1785",1.75,2,5
"1700",3.25,2,1
"2255",2.25,3,3
"1529",1.5,1,6
"2035",3,2,5
"771",2.5,2,3
"993",3.75,3,2
"1571",4.25,3,6
"1691",3.5,1,3
"230",1,1,1
"2091",3,2,6
"2360",3.5,1,4
"2183",4.25,3,6
"1689",3,1,6
"591",2.25,1,1
"1071",2.25,2,2
"2353",3,3,3
"1217",4,3,3
"180",3.5,2,3
"1998",2.5,2,6
"1613",3.75,4,6
"800",2.25,4,6
"430",3.25,3,6
"240",2.75,3,4
"680",3.5,3,3
"15",2.75,1,6
"1589",3,2,6
"414",3.75,3,6
"44",3,4,6
"1843",3,1,4
"355",2.75,1,2
"214",2.75,2,2
"243",3.5,6,6
"267",3.75,5,6
"2069",2,2,6
"625",2.25,1,2
"1829",2.5,4,3
"1450",3.25,3,5
"714",3.25,1,6
"1528",2.25,1,4
"1533",4.75,2,2
"1671",2.75,2,6
"1047",4,1,6
